curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:00005781	heat stressed soil	True	False	False	True	False	False	False	False	True			
ENVO:01001138	carbon dioxide ice	True	False	False	False	False	False	False	False	True			
ENVO:03605002	epipelon	True	False	False	False	False	False	False	False	True			
FOODON:00002165	organ meat product	False	False	False	False	False	False	False	False	True			
FOODON:00001126	bovine cheese food product	False	False	False	False	False	False	False	False	True			
FOODON:03301073	sugar (granulated)	False	False	False	False	False	False	False	False	True			
FOODON:00001714	food product component	False	False	False	False	False	False	False	False	True			
ENVO:00005772	orchard soil	True	False	False	True	False	False	False	False	True			
FOODON:00001264	legume food product	False	False	False	False	False	False	False	False	True			
ENVO:00002040	wood	True	False	False	False	False	False	False	False	True			
ENVO:03510023	shellac	True	False	False	False	False	False	False	False	True			
PATO:0000587	decreased size	False	False	False	False	False	False	False	False	False			1.0
FOODON:00001253	plant derived beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002129	anaerobic sludge	True	False	False	False	False	False	False	False	True			6.0
ENVO:01001514	congelation ice in a fresh water body	True	False	False	False	False	False	False	False	True			
FOODON:00001028	Brie cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:00005741	alpine soil	True	False	False	True	False	False	False	False	True			
ENVO:00002172	obsolete liver paste	True	True	False	False	False	False	False	False	False			
ENVO:03000049		False	False	False	False	False	False	False	False	False			1.0
ENVO:03510018	resin	True	False	False	False	False	False	False	False	True			
ENVO:01000662	scoria	True	False	False	False	False	False	False	False	True			
ENVO:00005744	allotment garden soil	True	False	False	True	False	False	False	False	True			
ENVO:01001283	aluminium dust	True	False	False	False	False	False	False	False	True			
ENVO:00002115	petroleum enriched sediment	True	False	False	False	False	False	False	False	True			
ENVO:03501253	gypsum	True	False	False	False	False	False	False	False	True			
ENVO:01000153	sulphate-reducing sediment	True	False	False	False	False	False	False	False	True			1.0
FOODON:00001046	animal seafood product	False	False	False	False	False	False	False	False	True			
FOODON:00001024	pickled cabbage food product	False	False	False	False	False	False	False	False	True			
FOODON:03301467	bean substance	False	False	False	False	False	False	False	False	True			
FOODON:00001036	pont ieveque cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:00002225	mesotrophic water	True	False	False	False	False	False	False	False	True			
FOODON:00002423	agave food product	False	False	False	False	False	False	False	False	True			
ENVO:00002206	coal mine waste material	True	False	False	True	False	False	False	False	True			
ENVO:01001396	abyssal clay	True	False	False	True	False	False	False	False	True			
ENVO:01000460	asphalt	True	False	False	False	False	False	False	False	True			
ENVO:00002049	stony meteorite	True	False	False	False	False	False	False	False	False			1.0
FOODON:03420156	brown sugar	False	False	False	False	False	False	False	False	True			
FOODON:00001878	frozen dairy dessert	False	False	False	False	False	False	False	False	True			
ENVO:00003982	travertine	True	False	False	False	False	False	False	False	True			
FOODON:00001207	jack bean (whole, dried)	False	False	False	False	False	False	False	False	True			
ENVO:01000484	container glass	True	False	False	False	False	False	False	False	True			
FOODON:00001015	plant food product	False	False	False	False	False	False	False	False	True			
ENVO:00000020	lake	True	False	False	True	False	False	False	False	False			1.0
FOODON:00001180	prepared food product	False	False	False	False	False	False	False	False	True			
FOODON:00001211	pasta food product	False	False	False	False	False	False	False	False	True			
ENVO:01000436	waterborne particulate matter	True	False	False	False	False	False	False	False	True			
ENVO:01001020	hypersaline lake	True	False	False	True	False	False	False	False	False			10.0
ENVO:01001113	forage material	True	False	False	False	False	False	False	False	True			
