curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:01001468	intertidal ecosystem	True	False	False	0	0	True	True	False	False	False	False	False			16.0
ENVO:00001997	acid mine drainage	True	False	False	0	0	True	False	False	False	False	False	False			134.0
PATO:0000025	composition	False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002181	neutral hot spring	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000297	freshwater river	True	False	False	0	0	True	False	False	False	False	False	False			983.0
ENVO:01000502	unburnt brick	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000070	terrigenous sediment	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:01000119	silty sediment	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:00000006	second-order administrative region	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000540	brackish lake	True	False	False	0	0	True	False	False	False	False	False	False			70.0
ENVO:03501300	manure	True	False	False	0	0	False	False	False	False	False	True	False			35.0
ENVO:01000348	maize field	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000077	agricultural ecosystem	True	False	False	0	0	False	True	False	False	False	False	False			686.0
ENVO:01000467	constructed barrier	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000451	atmospheric carbon dioxide	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000506	concrete exterior wall	True	False	False	0	0	True	False	False	False	False	False	False			
CHEBI:16183	methane	False	False	False	0	0	False	False	False	False	False	False	False			3.0
ENVO:02000008	cell culture	True	False	False	0	0	False	False	False	False	False	True	False			2.0
ENVO:01000034	oceanic sea surface microlayer biome	True	False	False	0	0	True	True	True	False	True	False	False			7.0
ENVO:0002		False	False	False	0	0	False	False	False	False	False	False	False			93.0
ENVO:06105211	runoff	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:01000054	marine basaltic hydrothermal vent biome	True	False	False	0	0	True	True	True	False	True	False	False			1.0
ENVO:03000120	subglacial lake	True	False	False	0	0	True	False	False	False	False	False	False			9.0
ENVO:04000007	lake water	True	False	False	0	0	True	False	False	False	False	True	False			147.0
ENVO:01000490	sandy building floor	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000291	drainage basin	True	False	False	0	0	True	False	False	False	False	False	False			741.0
ENVO:00000233	swamp ecosystem	True	False	False	0	0	False	True	False	False	False	False	True		4.0	5.0
ENVO:01000174	forest biome	True	False	False	0	0	True	True	True	True	False	False	False			95.0
ENVO:00000261	savanna	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000618	lotic water body	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000108	meadow ecosystem	True	False	False	0	0	True	True	False	False	False	False	False			12.0
ENVO:00002145	chromate contaminated soil	True	False	False	0	0	True	False	False	False	False	True	False			
ENVO:01000282	sedimentary stratum	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000447	roadside	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000106	grassland area	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000464	non-hydraulic cement	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000269	siltstone	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:00003074	manufactured product	True	False	False	0	0	False	False	False	False	False	False	False			4.0
ENVO:01000504	unburnt-brick exterior wall	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000487	paternoster lake	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000378	arid subtropical	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000321	sea water environment	True	False	False	0	0	False	True	False	False	False	False	False			27.0
ENVO:01000240	conifer woodland	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:01000657	igneous intrusion process	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000304	high pressure environment	True	False	False	0	0	False	True	False	False	False	False	False			
ENVO:01000341	subalpine	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000202	temperate broadleaf forest biome	True	False	False	0	0	True	True	True	True	False	False	False			
RO:0002577	system	False	False	False	0	0	False	False	False	False	False	False	False			288.0
