curie	label	envo_native	obsolete	EnvMediumSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
FOODON:00002779	jack-bean food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:03510056	methyl cellulose paste	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000538	arrugado	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000304	shore	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		7.0
FOODON:00002252	soft cheese food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:01001049	non-saline sediment environment	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		7.0
ENVO:00002178	iron-reducing zone of petroleum contaminated sediment	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:02000127	coal ash	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002337		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000525	canalized stream	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000428	biome	True	False	False	0	10	False	True	True	True	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:01001562	hydrogel	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00010623	dolomite	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002249	phaeozem	True	False	True	1	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		1.0
ENVO:00000383	stream bed	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:01001614	ice-bearing permafrost	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:00002146	plant product dressing	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:2000010	bitumous coal	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:01000939	time crystal	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:01000681	sodium chloride salt	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000246	volcanic crater	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
FOODON:00001165	solanaceous food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:02000026	chyme material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000015	ocean	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True		22.0
ENVO:01000207	mediterranean	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		103.0
FOODON:03400352	international agency food product type	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:03000038	cryoconite deposit	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:01000478	cement plaster	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:03600087	greenhouse	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	False	False	False		2.0
ENVO:01001503	glacial surface layer	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00005796	marine sludge	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002870	adobe	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:03600064	microbialite	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		1.0
