subject	predicate	content
GOLDTERMS:5449	mixs:anatomical_site	PO:0009005
GOLDTERMS:5449	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5449	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5449	mixs:other	ENVO:01001181
GOLDTERMS:5449	rdfs:label	Host-associated > Plants > Roots > Rhizoplane > Endophytes
GOLDTERMS:5493	mixs:env_broad	ENVO:01000313
GOLDTERMS:5493	mixs:env_local	ENVO:03600004
GOLDTERMS:5493	mixs:mixs_extension	mixs:BuiltEnvironment
GOLDTERMS:5493	rdfs:label	Engineered > Built environment > Drinking water treatment plant > Drinking water filter
GOLDTERMS:5500	mixs:env_broad	ENVO:01000313
GOLDTERMS:5500	mixs:env_local	ENVO:03600004
GOLDTERMS:5500	mixs:env_medium	ENVO:00003064
GOLDTERMS:5500	mixs:mixs_extension	mixs:BuiltEnvironment
GOLDTERMS:5500	mixs:other	FOODON:03301647
GOLDTERMS:5500	rdfs:label	Engineered > Built environment > Drinking water treatment plant > Drinking water
GOLDTERMS:5520	mixs:env_broad	ENVO:01000313
GOLDTERMS:5520	mixs:env_local	ENVO:00003043
GOLDTERMS:5520	mixs:env_medium	ENVO:00002044
GOLDTERMS:5520	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5520	rdfs:label	Engineered > Sewage treatment plant > Sludge
GOLDTERMS:5523	mixs:env_broad	ENVO:01000313
GOLDTERMS:5523	mixs:env_local	ENVO:00003043
GOLDTERMS:5523	mixs:env_medium	ENVO:00002001
GOLDTERMS:5523	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5523	rdfs:label	Engineered > Sewage treatment plant > Wastewater
GOLDTERMS:5527	mixs:env_broad	ENVO:01000313
GOLDTERMS:5527	mixs:env_medium	ENVO:00002001
GOLDTERMS:5527	mixs:mixs_extension	mixs:BuiltEnvironment
GOLDTERMS:5527	rdfs:label	Engineered > Built environment > Water treatment plant > Wastewater
GOLDTERMS:5552	mixs:env_broad	ENVO:01000313
GOLDTERMS:5552	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5552	mixs:other	ENVO:00010622
GOLDTERMS:5552	rdfs:label	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Enriched plant cells
GOLDTERMS:5553	mixs:env_broad	ENVO:01000313
GOLDTERMS:5553	mixs:env_medium	ENVO:00005802
GOLDTERMS:5553	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5553	mixs:other	ENVO:00010622
GOLDTERMS:5553	rdfs:label	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Bulk soil
GOLDTERMS:5554	mixs:env_broad	ENVO:01000313
GOLDTERMS:5554	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5554	mixs:other	ENVO:00010622
GOLDTERMS:5554	rdfs:label	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Soil (non-planted)
GOLDTERMS:5568	mixs:env_broad	ENVO:01000313
GOLDTERMS:5568	mixs:env_local	ENVO:00005801
GOLDTERMS:5568	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5568	mixs:other	ENVO:00010622
GOLDTERMS:5568	rdfs:label	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Rhizosphere
GOLDTERMS:5593	mixs:env_broad	ENVO:01000313
GOLDTERMS:5593	mixs:env_local	ENVO:00003043
GOLDTERMS:5593	mixs:env_medium	ENVO:00002001
GOLDTERMS:5593	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5593	rdfs:label	Engineered > Sewage treatment plant > Wastewater > Activated sludge
GOLDTERMS:5624	mixs:env_broad	ENVO:01000313
GOLDTERMS:5624	mixs:env_local	ENVO:00003043
GOLDTERMS:5624	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment
GOLDTERMS:5624	rdfs:label	Engineered > Sewage treatment plant > Activated sludge
