curie	label	envo_native	obsolete	EnvBroadScaleSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
ENVO:01000196	coniferous forest biome	True	False	False	1	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		13.0
ENVO:01000341	subalpine	True	False	False	0	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00002304		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01023		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
CHEBI:33709	amino acid	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000533	landfill	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		21.0
ENVO:01000214	tropical shrubland biome	True	False	True	3	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000180	tundra biome	True	False	True	1	1	False	True	True	True	True	False	False	False	False	False	False	False	False	False		
PATO:0045091	north	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000189		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001082	climate	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		7.0
ENVO:01000124	marine supra-littoral zone	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000539		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002269	thermocline	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002285		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:03501109	subway train	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000552		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000535		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00005790	red soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		2.0
ENVO:00000506	intermittently filled reservoir	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000173	rocky desert	True	False	False	1	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000440		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000030	marine hydrothermal vent biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:00000244	abyssal plain	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001007	solar rainbow	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000043	neritic mesopelagic zone biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:01000054	marine basaltic hydrothermal vent biome	True	False	False	0	0	False	True	True	True	False	True	False	False	False	False	False	False	False	False		
ENVO:01001503	glacial surface layer	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002242	lixisol	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		1.0
ENVO:06105101	plastic	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		6.0
ENVO:00002297	obsolete environmental feature	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00000291	drainage basin	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:1000751	barrier island	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002316		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000538		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:013		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002271	nuclear power plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	True	False	False		1.0
ENVO:007		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000254	environmental system	True	False	False	0	39	False	False	True	False	False	False	False	False	False	False	False	False	False	False		14.0
ENVO:01000780	public road	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	False	False	False		1.0
OBI:0000967	container	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000746	area of perennial ice or snow	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False		
CHEBI:16189	sulfate	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:040		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000482		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:0000491		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:0000478		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00000488	glacial lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001582	forest floor	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		15.0
ENVO:00000414	natural arch	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001020	hypersaline lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00003870	rice straw	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		30.0
