curie	label	envo_native	obsolete	EnvMediumSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
ENVO:02000032	vitreous humor material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000828	humid air	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001008	liver paste	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000461	refined asphalt	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:00001282	ground beef food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001567	protected area	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
FOODON:00001216	cream food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:024		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
FOODON:00001160	pomaceous fruit extract	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000441	andesite	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01001008	meteor	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002135	treated wood	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00005757	bacteria enriched soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False		
ENVO:01001304	oasis	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001835	alpine biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True		2.0
ENVO:00002057	raw primary sludge	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:03301977	beverage food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:03400842	non alcoholic beverage (eurofir)	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:01000847	hair ice	True	False	False	0	0	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False		
ENVO:00000064	road	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False		2.0
ENVO:01001063	oxic water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False		
FOODON:00001107	bovine dairy food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:00000349	terrarium	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002122	arsenic-rich mud	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
FOODON:03400801	seafood or related product (eurofir)	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:02000117	natural wax	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False		
ENVO:042		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
