	id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len	normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon	lat_lon_diff
1640	nmdc:bsm-11-5bkmwy79	777.0	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.426799	6	-80.564064	6	usa virginia mountain lake biological station	240 Salt Pond Rd, Pembroke, VA 24136, USA	37.375136	-80.522747						6.805979434181129
1641	nmdc:bsm-11-5bxaty06	1223.1	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.368528	6	-80.526975	6	usa virginia mountain lake biological station	240 Salt Pond Rd, Pembroke, VA 24136, USA	37.375136	-80.522747						0.8243105766553198
1642	nmdc:bsm-11-5bxtve82	13.8	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.020963	6	-67.074891	6	usa puerto rico lajas experimental station	Lajas, 00667, Puerto Rico	18.049962	-67.0593449	3.819720494884953	18.0579528	-67.0445689	18.0352469	-67.07168	3.6193166619874875
1643	nmdc:bsm-11-5bxtve82	13.8	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.020963	6	-67.074891	6	usa puerto rico lajas experimental station	United States	37.09024	-95.712891	9007.238625192922	74.071038	-66.885417	18.7763	166.9999999	3506.461037809692
1644	nmdc:bsm-11-5c0m4847	472.4	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.506757	6	-89.58706	5	usa wisconsin steigerwaldt chequamegon	Chequamegon Dr, Minocqua, WI 54548, USA	45.8937771	-89.8006914	0.8065178448145299	45.89547839999999	-89.7968313	45.8907197	-89.8046961	46.12186024310389
1645	nmdc:bsm-11-5c0m4847	472.4	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.506757	6	-89.58706	5	usa wisconsin steigerwaldt chequamegon	Chequamegon Dr, Emery, WI 54513, USA	45.6723188	-90.1156759	1.648900738203462	45.6739262	-90.1048578	45.671545	-90.1258043	45.06512390738193
1646	nmdc:bsm-11-5c8mq134	129.1	USA: Alabama, Talladega National Forest	usa alabama talladega national forest	32.952869	6	-87.397606	6	usa alabama talladega national forest	Talladega National Forest, 9901 AL-5, Brent, AL 35034, USA	33.5083153	-85.7850599						162.20159889844095
1647	nmdc:bsm-11-5c93r033	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4	usa wisconsin	Wisconsin, USA	43.7844397	-88.7878678	748.1548770678803	47.309822	-86.249548	42.4917199	-92.8894331	90.98876752230821
1648	nmdc:bsm-11-5cb54z92	500.1	USA: North Dakota, Dakota Coteau Field Site	usa north dakota dakota coteau field site	47.173174	6	-99.05087	5	usa north dakota dakota coteau field site	Coteau, ND 58721, USA	48.7566981	-102.3190572						300.31257825554206
1649	nmdc:bsm-11-5cbar947	188.0	Thailand: Mae Hong Son	thailand mae hong son	17.846	3	97.9764	4	thailand mae hong son	แม่ฮ่องสอน ตำบล ปางหมู อำเภอเมืองแม่ฮ่องสอน แม่ฮ่องสอน 58000, Thailand	19.3012591	97.9706086						161.8185801716365
1650	nmdc:bsm-11-5cbar947	188.0	Thailand: Mae Hong Son	thailand mae hong son	17.846	3	97.9764	4	thailand mae hong son	Mae Hong Son, Thailand	18.7370307	97.87216	278.58381008558115	19.8142701	98.6522228	17.6369711	97.343396	99.68742025526082
1651	nmdc:bsm-11-5cfr5q68	544.8	USA: Alaska, Delta Junction	usa alaska delta junction	63.835171	6	-145.748058	6	usa alaska delta junction	Delta Junction, AK, USA	64.0400726	-145.7343509	11.07364435345993	64.0987619	-145.6280362	64.02508	-145.781209	22.793856699354993
