id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len
nmdc:bsm-11-t2zxne83	278.1	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.397987	6	-97.568339	6
nmdc:bsm-11-t322nb69	510.5	USA: Oklahoma, Marvin Klemme Range Research Station	usa oklahoma marvin klemme range research station	35.412139	6	-99.069792	6
nmdc:bsm-11-t3361g22	584.5	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.129092	6	-99.245921	6
nmdc:bsm-11-t34hp206	596.3	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.128258	6	-99.257768	6
nmdc:bsm-11-t3c9hk29	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-t3jsa236	540.5	USA: Alaska, Caribou-Poker Creeks Research Watershed	usa alaska caribou poker creeks research watershed	65.17688	5	-147.559452	6
nmdc:bsm-11-t3nrzr24	26.1	USA: Alabama, Dead Lake	usa alabama dead lake	32.529789	6	-87.818194	6
nmdc:bsm-11-t3sqmr03	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-t3y4pj73	507.4	USA: Michigan, University of Notre Dame Environmental Research Center	usa michigan university of notre dame environmental research center	46.231744	6	-89.53264	5
nmdc:bsm-11-t40jm778	990.6	USA: Arizona, Santa Rita Experimental Range	usa arizona santa rita experimental range	31.910358	6	-110.838435	6
nmdc:bsm-11-t412vy43	2362.0	USA: Utah, 22UT032 - High Elevation Rock Mountain UT - LeMonte/BYU	usa utah 22ut032 high elevation rock mountain ut lemonte byu	40.6195637	7	-109.61135	5
nmdc:bsm-11-t4kk7y84	273.4	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.403989	6	-97.572744	6
nmdc:bsm-11-t4zby589		USA: California	usa california	34.4149	4	-119.841	3
nmdc:bsm-11-t5127n32	680.5	USA: Alaska, Healy	usa alaska healy	63.863602	6	-149.273634	6
nmdc:bsm-11-t5e55q46	18.8	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.099732	6	-81.399974	6
nmdc:bsm-11-t5gjvv95	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-t5pb6s83	317.8	USA: Kansas, Konza Prairie Agroecosystem	usa kansas konza prairie agroecosystem	39.221583	6	-96.582637	6
nmdc:bsm-11-t7137964	20.3	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.1232	4	-81.43487	5
nmdc:bsm-11-t76edm77	19	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.073118	6	-81.428559	6
nmdc:bsm-11-t7jevt42		USA: Kansas	usa kansas	39.08766	5	-96.58479	5
nmdc:bsm-11-t7kwgq57	2440.0	USA: Wyoming, 22WY003	usa wyoming 22wy003	44.016047	6	-109.143313	6
nmdc:bsm-11-t7xabq16	363.1	USA: Washington, Abby Road	usa washington abby road	45.761334	6	-122.330793	6
nmdc:bsm-11-t7xb8h63	62.0	USA: Oregon	usa oregon	44.588011	6	-123.192906	6
nmdc:bsm-11-t7yad238	1652	USA: Colorado, Central Plains Experimental Range	usa colorado central plains experimental range	40.817292	6	-104.750288	6
nmdc:bsm-11-t83x0q64	677.6	USA: Alaska, Healy	usa alaska healy	63.875088	6	-149.210438	6
nmdc:bsm-11-t8d86880	594.1	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.12584	5	-99.253801	6
nmdc:bsm-11-t8h7cn37	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-t8k5qh07	2000.3	USA: Wyoming, Yellowstone National Park	usa wyoming yellowstone national park	44.970313	6	-110.501884	6
nmdc:bsm-11-t8kagr42		Germany: Brandenburg	germany brandenburg	52.4762	4	13.6259	4
nmdc:bsm-11-t8s61a71	282.4	USA: Kansas, KU Field Station	usa kansas ku field station	39.036615	6	-95.192035	6
nmdc:bsm-11-t91h0d69	821.6	USA: Alaska, Toolik Field Station	usa alaska toolik field station	68.665514	6	-149.375519	6
nmdc:bsm-11-t92hzr24		USA: AK, Denali	usa ak denali	68.627175	6	-149.590514	6
nmdc:bsm-11-t93nj750	500	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.826444	6	-90.086211	6
nmdc:bsm-11-t9gbr362		USA: California	usa california	34.4149	4	-119.841	3
nmdc:bsm-11-t9hyfh91	586.6	USA: North Dakota, Chase Lake National Wildlife Refuge	usa north dakota chase lake national wildlife refuge	47.151171	6	-99.262648	6
nmdc:bsm-11-t9nq6t47	1795.9	USA: Utah, Onaqui	usa utah onaqui	40.15854	5	-112.521574	6
nmdc:bsm-11-t9th2n39	571.7	USA: North Dakota, Dakota Coteau Field Site	usa north dakota dakota coteau field site	47.160965	6	-99.11068	5
nmdc:bsm-11-t9y2b332	1207.5	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.561039	6	-155.249535	6
nmdc:bsm-11-ta418y46	1179.4	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.37556	5	-80.5202	4
nmdc:bsm-11-ta8dt754	1.0	USA: Oregon	usa oregon	46.121579	6	-123.269208	6
nmdc:bsm-11-tabdkm73	974.5	USA: Arizona, Santa Rita Experimental Range	usa arizona santa rita experimental range	31.840609	6	-110.917189	6
nmdc:bsm-11-taczam15	19.5	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.039641	6	-81.393323	6
nmdc:bsm-11-tarb6273	41.4	USA: Florida, Ordway-Swisher Biological Station	usa florida ordway swisher biological station	29.691969	6	-81.992063	6
nmdc:bsm-11-taxbd841		USA: AK, Denali	usa ak denali	63.875798	6	-149.21335	5
nmdc:bsm-11-tb5tgw23	1310.9	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.3607	4	-80.524992	6
nmdc:bsm-11-tb6j2b52	573.0	USA: North Dakota, Northern Great Plains Research Laboratory	usa north dakota northern great plains research laboratory	46.770404	6	-100.913635	6
nmdc:bsm-11-tbn4rb48	974.5	USA: Arizona, Santa Rita Experimental Range	usa arizona santa rita experimental range	31.840609	6	-110.917189	6
nmdc:bsm-11-tbpgp032	1707.9	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.553624	6	-155.319191	6
nmdc:bsm-11-tbqpd657	24	USA: Florida, Ordway-Swisher Biological Station	usa florida ordway swisher biological station	29.689482	6	-81.960693	6
