sub	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	rdfs:comment	rdfs:label	skos:closeMatch	skos:exactMatch	env_broad_label	env_local_label	env_medium_label
GOLDTERMS:5768	ENVO:00000077	ENVO:01001177	ENVO:00005742		mixs:Soil		env_broad: agricultural ecosystem; env_local: arable land; env_medium: arable soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Arable > Agricultural land			agricultural ecosystem	arable land	arable soil
GOLDTERMS:5770	ENVO:00000077	ENVO:03600087	ENVO:00001998		mixs:Soil		env_broad: agricultural ecosystem; env_local: greenhouse; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Greenhouse > Agricultural land			agricultural ecosystem	greenhouse	soil
GOLDTERMS:5774	ENVO:01000254	ENVO:00000011	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: garden; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Garden		ENVO:00000011	environmental system	garden	soil
GOLDTERMS:5776	ENVO:00000077	ENVO:00000446	ENVO:2000007		mixs:Soil		env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: biochar; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Biochar > Agricultural land			agricultural ecosystem	terrestrial biome	biochar
GOLDTERMS:5777	ENVO:01000254	ENVO:03600087	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: greenhouse; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Greenhouse		ENVO:03600087	environmental system	greenhouse	soil
GOLDTERMS:5779	ENVO:01000254	ENVO:00000446	ENVO:03000133		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: agricultural potting mixture; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Potting soil		ENVO:03000133	environmental system	terrestrial biome	agricultural potting mixture
GOLDTERMS:5780	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Bulk soil			environmental system	terrestrial biome	bulk soil
GOLDTERMS:5792	ENVO:01000254	ENVO:00000023	ENVO:00001998	NCBITaxon:12908	mixs:Soil		env_broad: environmental system; env_local: stream; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Unclassified > Creek			environmental system	stream	soil
GOLDTERMS:5800	ENVO:01000254	ENVO:00000446	ENVO:02000138		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: mangrove biome soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Mangrove soil			environmental system	terrestrial biome	mangrove biome soil
GOLDTERMS:5803	ENVO:01000254	ENVO:00000446	ENVO:00005774		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat		ENVO:00005774	environmental system	terrestrial biome	peat soil
