s	s_is_soil	s_is_reasonable_other	slab	p	plab	p_lab_or_id	relation_is_reasonable	o	o_is_soil	o_is_reasonable_other	olab	slab_olab_cosine	sole_reasonable_other	sole_soil
ENVO:06105276	True	False	sandy clay loam	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:01000017	False	False	sand	0.5163977794943222		sandy clay loam
ENVO:06105276	True	False	sandy clay loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:06105277	True	False	clay loam	0.7745966692414834		
ENVO:06105277	True	False	clay loam	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:00002982	False	False	clay	0.6666666666666666		clay loam
ENVO:06105277	True	False	clay loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002258	True	False	loam	0.6666666666666666		
ENVO:06105277	True	False	clay loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.3698001308168194		
ENVO:06105278	True	False	silty clay loam	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:01000016	False	False	silt	0.5163977794943222		silty clay loam
ENVO:06105278	True	False	silty clay loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:06105277	True	False	clay loam	0.7745966692414834		
ENVO:00000044	False	True	peatland	RO:0002473	composed primarily of	composed primarily of	True	ENVO:00005774	True	False	peat soil	0.5892556509887896	peatland	peat soil
ENVO:00000258	False	True	alluvial plain	RO:0002473	composed primarily of	composed primarily of	True	ENVO:00002871	True	False	alluvial soil	0.8153742483272113	alluvial plain	alluvial soil
ENVO:00000314	False	True	alluvial fan	RO:0002473	composed primarily of	composed primarily of	True	ENVO:00002871	True	False	alluvial soil	0.7205766921228921	alluvial fan	alluvial soil
ENVO:00000413	False	True	pingo	ENVO:01001307	partially_surrounded_by	partially_surrounded_by	False	ENVO:00001998	False	False	soil	0.4472135954999579	pingo	
ENVO:00002116	True	False	contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.6726727939963124		
ENVO:00002117	True	False	creosote contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002116	True	False	contaminated soil	0.8086075400626399		
ENVO:00002145	True	False	chromate contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003081	True	False	metal contaminated soil	0.8996469021204838		
