sub	pred	object_or_value
GOLDTERMS:4231	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; other: increased contamination; partial
GOLDTERMS:4231	rdfs:label	Environmental > Terrestrial > Soil > Clay > Contaminated
GOLDTERMS:5774	mixs:env_broad	ENVO:01000254
GOLDTERMS:5774	mixs:env_local	ENVO:00000011
GOLDTERMS:5774	mixs:env_medium	ENVO:00001998
GOLDTERMS:5774	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5774	rdfs:comment	env_broad: environmental system; env_local: garden; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5774	rdfs:label	Environmental > Terrestrial > Soil > Garden
GOLDTERMS:5774	skos:exactMatch	ENVO:00000011
GOLDTERMS:4242	mixs:env_broad	ENVO:00000077
GOLDTERMS:4242	mixs:env_local	ENVO:00000446
GOLDTERMS:4242	mixs:env_medium	ENVO:00002258
GOLDTERMS:4242	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4242	rdfs:comment	env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4242	rdfs:label	Environmental > Terrestrial > Soil > Loam > Agricultural land
GOLDTERMS:4230	mixs:env_broad	ENVO:00000077
GOLDTERMS:4230	mixs:env_local	ENVO:00000446
GOLDTERMS:4230	mixs:env_medium	ENVO:00002982
GOLDTERMS:4230	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4230	rdfs:comment	env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4230	rdfs:label	Environmental > Terrestrial > Soil > Clay > Agricultural land
GOLDTERMS:5816	mixs:env_broad	ENVO:01000254
GOLDTERMS:5816	mixs:env_local	ENVO:00000489
GOLDTERMS:5816	mixs:env_medium	ENVO:00005774
GOLDTERMS:5816	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5816	rdfs:comment	env_broad: environmental system; env_local: palsa; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5816	rdfs:label	Environmental > Terrestrial > Soil > Peat > Palsa
GOLDTERMS:5816	skos:exactMatch	ENVO:00000489
GOLDTERMS:5808	mixs:env_broad	ENVO:01000254
